Title,JTAG Permutator,,,,,,,
Revision,1,,,,,,,
Date,2/6/2018,,,,,,,
Generated,2/6/2018 16:55,,,,,,,
Company,,,,,,,,
Comment 1,Robert Marosi,,,,,,,
Comment 2,CC BY 3.0 US,,,,,,,
Comment 3,,,,,,,,
Comment 4,,,,,,,,
Total Parts,43,,,,,,,
Total Unique Parts,20,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Ref,Qty,Value,Footprint,MFR,MPN,SPN,SPR,DNI
C7 ,1,10uF,Capacitors_SMD:C_0603,TDK Corporation,C1608X5R0J106M080AB,445-4112-2-ND,Digi-Key,
C6 C3 C1 ,3,4.7uF,Capacitors_SMD:C_0603,Murata,GRM188R60J475ME19D,490-5421-2-ND,Digi-Key,
C5 C4 C2 ,3,0.1uF,Capacitors_SMD:C_0603,Murata,GRM188R71E104KA01, 490-1524-2-ND,Digi-Key,
D4 ,1,LED_ON,LEDs:LED_0603,Lite-On Inc.,LTST-C190KRKT,160-1436-2-ND,Digi-Key,
D3 ,1,LED_PWR,LEDs:LED_0603,Lite-On Inc.,LTST-C190KRKT,160-1436-2-ND,Digi-Key,
D2 ,1,LED_BOOT,LEDs:LED_0603,Lite-On Inc.,LTST-C190KRKT,160-1436-2-ND,Digi-Key,
D1 ,1,LED_Heartbeat,LEDs:LED_0603,Lite-On Inc.,LTST-C190KRKT,160-1436-2-ND,Digi-Key,
F1 ,1,500mA PTC,Fuse_Holders_and_Fuses:Fuse_SMD1206_Reflow,Bel Fuse Inc.,0ZCJ0050FF2G,507-1802-1-ND ,Digi-Key,
L1 ,1,1uH,Inductors_SMD:L_0805,Taiyo Yuden,MBKK2012T1R0M,587-4156-2-ND,Digi-Key,
P3 ,0,Bus Pirate Probe Cable Connector,Connectors_IDC:IDC-Header_2x05_Pitch2.54mm_Straight,On Shore Technology Inc.,302-S101,ED1543-ND,Digi-Key,P3
P2 ,0,Debug Adapter Connector,Connectors_IDC:IDC-Header_2x05_Pitch2.54mm_Straight,On Shore Technology Inc.,302-S101,ED1543-ND,Digi-Key,P2
P1 ,1,USB_OTG,digikey-footprints:609-4613-1-ND,Amphenol FCI,10118192-0001LF,609-4613-1-ND,Digi-Key,
R13 ,1,200k,Resistors_SMD:R_0603,TE Connectivity Passive Product,CPF0603F200KC1,A102235TR-ND ,Digi-Key,
R22 R23 R1 R2 R3 R4 ,6,1k,Resistors_SMD:R_0603,Panasonic Electronics Components,ERJ-3GEYJ102V,P1.0KGTR-ND,Digi-Key,
R5 R6 R7 R8 R9 R10 R11 R12 R14 R15 R16 R17 R18 R19 R20 R21 ,16,470R,Resistors_SMD:R_0603,Yageo,RC0603JR-07470RL,311-470GRTR-ND,Digi-Key,
TP1 TP2 TP3 TP4 TP5 TP6 ,0,TEST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small,N/A,N/A,N/A,N/A,TP1 TP2 TP3 TP4 TP5 TP6 
U3 ,1,GTL2003BQ_115,GTL2003:DHVQFN20,NXP USA Inc.,GTL2003BQ 115,568-4293-1-ND,Digi-Key,
U4 ,1,SC195,SC195:MLPQ-UT8,Semtech Corporation,SC195ULTRT,SC195ULTR-ND,Digi-Key,
U1 U5 U6 ,3,DT1446-04V-7,DT1446-04V-7:SOT563,Diodes Inc.,DT1446-04V-7,DT1446-04V-7DITR-ND,Digi-Key,
U2 ,1,EFM8UB31F40G-A,digikey-footprints:24-WQFN_(4x4),Silicon Labs,EFM8UB31F40G-A-QFN24,336-4232-ND,Digi-Key,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git),,,,,,,,
Generated 2/6/2018 4:55:48 PM,,,,,,,,
